Source,Target,Type,Id,Label,timeset,Weight
674,1049,Undirected,6667,,,1
1298,1049,Undirected,6670,,,1
704,1049,Undirected,6673,,,1
820,1049,Undirected,6674,,,1
827,1049,Undirected,6675,,,1
1002,1049,Undirected,6676,,,1
596,716,Undirected,6750,,,1
1103,1146,Undirected,6795,,,1
21,273,Undirected,6934,,,1
48,1707,Undirected,6968,,,1
912,727,Undirected,7104,,,1
1511,1565,Undirected,7143,,,1
21,127,Undirected,7177,,,1
1470,1712,Undirected,7225,,,1
983,1019,Undirected,7399,,,1
782,501,Undirected,7418,,,1
851,963,Undirected,7443,,,1
601,1038,Undirected,7531,,,1
1685,1727,Undirected,7736,,,1
569,1727,Undirected,7737,,,1
635,1727,Undirected,7738,,,1
1551,1727,Undirected,7740,,,1
1726,1727,Undirected,7742,,,1
958,1727,Undirected,7743,,,1
1446,1727,Undirected,7744,,,1
667,1727,Undirected,7745,,,1
1292,1727,Undirected,7746,,,1
551,1727,Undirected,7747,,,1
1495,1727,Undirected,7748,,,1
982,1727,Undirected,7750,,,1
1812,1727,Undirected,7752,,,1
1180,1727,Undirected,7753,,,1
1390,1727,Undirected,7755,,,1
1554,1727,Undirected,7756,,,1
566,1727,Undirected,7757,,,1
1470,724,Undirected,8014,,,1
987,453,Undirected,8070,,,1
835,968,Undirected,8128,,,1
782,398,Undirected,8152,,,1
596,516,Undirected,8197,,,1
596,1619,Undirected,8238,,,1
987,366,Undirected,8279,,,1
21,66,Undirected,8349,,,1
1470,1065,Undirected,8378,,,1
559,576,Undirected,8403,,,1
601,1818,Undirected,8451,,,1
601,1280,Undirected,8487,,,1
