Source,Target,Type,Id,Label,timeset,Weight
11,1934,Undirected,29161,,,1
1395,12,Undirected,45137,,,1
1113,16,Undirected,32695,,,1
17,1934,Undirected,29177,,,1
1395,21,Undirected,46244,,,1
24,1758,Undirected,43271,,,1
37,2151,Undirected,41113,,,1
37,3781,Undirected,39012,,,1
37,2315,Undirected,34115,,,1
37,2226,Undirected,24007,,,1
37,1370,Undirected,21080,,,1
37,1542,Undirected,14995,,,1
37,3330,Undirected,13885,,,1
37,2663,Undirected,3806,,,1
37,3135,Undirected,2713,,,1
38,2254,Undirected,51008,,,1
38,3422,Undirected,28277,,,1
210,40,Undirected,58056,,,1
3371,50,Undirected,7292,,,1
2271,67,Undirected,8579,,,1
3371,67,Undirected,8536,,,1
1428,77,Undirected,17201,,,1
87,3076,Undirected,42243,,,1
87,2328,Undirected,40218,,,1
87,1856,Undirected,30772,,,1
87,1114,Undirected,22732,,,1
87,420,Undirected,18179,,,1
87,319,Undirected,16133,,,1
1428,93,Undirected,7504,,,1
3371,103,Undirected,14581,,,1
104,1934,Undirected,29171,,,1
1428,104,Undirected,5247,,,1
1428,118,Undirected,24950,,,1
3712,142,Undirected,3270,,,1
3620,147,Undirected,2052,,,1
2271,147,Undirected,2048,,,1
671,147,Undirected,2046,,,1
694,149,Undirected,53405,,,1
671,149,Undirected,53403,,,1
640,154,Undirected,10875,,,1
1428,156,Undirected,6773,,,1
3371,164,Undirected,9695,,,1
3057,170,Undirected,46308,,,1
502,172,Undirected,17176,,,1
174,636,Undirected,11054,,,1
263,177,Undirected,15166,,,1
183,1967,Undirected,8675,,,1
1395,183,Undirected,52949,,,1
185,1967,Undirected,8639,,,1
187,381,Undirected,30616,,,1
640,196,Undirected,57018,,,1
3371,196,Undirected,57000,,,1
2194,196,Undirected,56971,,,1
502,196,Undirected,56917,,,1
1331,196,Undirected,56915,,,1
3682,201,Undirected,4011,,,1
210,271,Undirected,32158,,,1
210,3538,Undirected,31424,,,1
210,587,Undirected,28920,,,1
210,1810,Undirected,20162,,,1
210,252,Undirected,4047,,,1
210,603,Undirected,2685,,,1
210,3559,Undirected,109,,,1
2194,211,Undirected,22675,,,1
502,211,Undirected,22663,,,1
3371,211,Undirected,22650,,,1
1331,211,Undirected,22615,,,1
640,211,Undirected,22600,,,1
1391,215,Undirected,26699,,,1
2312,215,Undirected,26695,,,1
356,215,Undirected,26689,,,1
3493,215,Undirected,26683,,,1
2542,217,Undirected,51858,,,1
2157,221,Undirected,16462,,,1
1428,223,Undirected,26800,,,1
671,224,Undirected,57456,,,1
3620,224,Undirected,57453,,,1
2460,229,Undirected,35673,,,1
2460,230,Undirected,26985,,,1
1428,236,Undirected,53084,,,1
3371,238,Undirected,25085,,,1
241,381,Undirected,30626,,,1
1331,243,Undirected,40597,,,1
250,276,Undirected,48983,,,1
250,522,Undirected,28818,,,1
263,252,Undirected,4045,,,1
694,259,Undirected,16023,,,1
671,259,Undirected,16019,,,1
263,3312,Undirected,38910,,,1
263,3588,Undirected,38402,,,1
263,3786,Undirected,28927,,,1
263,2178,Undirected,28087,,,1
263,3184,Undirected,22531,,,1
263,1186,Undirected,19139,,,1
263,1493,Undirected,9120,,,1
263,1840,Undirected,6355,,,1
2271,270,Undirected,20747,,,1
3371,278,Undirected,56661,,,1
502,279,Undirected,16660,,,1
1428,279,Undirected,16644,,,1
1331,281,Undirected,295,,,1
2271,285,Undirected,53143,,,1
671,296,Undirected,50073,,,1
671,304,Undirected,7636,,,1
694,304,Undirected,7634,,,1
671,311,Undirected,55484,,,1
1207,312,Undirected,13832,,,1
694,316,Undirected,25408,,,1
671,316,Undirected,25407,,,1
2271,319,Undirected,16131,,,1
3057,332,Undirected,3266,,,1
1428,336,Undirected,51772,,,1
1428,342,Undirected,23413,,,1
1331,348,Undirected,34456,,,1
3158,358,Undirected,40111,,,1
1247,358,Undirected,40107,,,1
3620,360,Undirected,41567,,,1
2194,362,Undirected,41231,,,1
3712,366,Undirected,20527,,,1
3371,370,Undirected,17835,,,1
502,376,Undirected,45857,,,1
2272,381,Undirected,30631,,,1
3284,381,Undirected,30630,,,1
3879,381,Undirected,30629,,,1
3507,381,Undirected,30628,,,1
3637,381,Undirected,30627,,,1
3662,381,Undirected,30624,,,1
3703,381,Undirected,30623,,,1
1646,381,Undirected,30622,,,1
2691,381,Undirected,30621,,,1
1678,381,Undirected,30620,,,1
3085,381,Undirected,30619,,,1
3292,381,Undirected,30618,,,1
948,381,Undirected,30617,,,1
3045,381,Undirected,30615,,,1
2813,381,Undirected,30614,,,1
1772,381,Undirected,30613,,,1
2934,381,Undirected,30612,,,1
3715,381,Undirected,30611,,,1
3883,381,Undirected,30610,,,1
2301,381,Undirected,30609,,,1
2841,381,Undirected,30608,,,1
3504,381,Undirected,30607,,,1
2072,381,Undirected,30606,,,1
1886,381,Undirected,30605,,,1
903,383,Undirected,9285,,,1
385,1934,Undirected,29166,,,1
1428,385,Undirected,52821,,,1
3071,387,Undirected,44603,,,1
3528,388,Undirected,33607,,,1
