Source,Target,Type,Id,Label,timeset,Weight
3065,158,Undirected,11,,,1
1934,471,Undirected,208,,,1
1851,1320,Undirected,228,,,1
1589,1320,Undirected,244,,,1
1400,582,Undirected,263,,,1
1589,1645,Undirected,382,,,1
1108,2390,Undirected,487,,,1
1589,973,Undirected,574,,,1
1589,737,Undirected,739,,,1
1400,1341,Undirected,759,,,1
1934,1691,Undirected,809,,,1
1851,1752,Undirected,824,,,1
1851,1192,Undirected,935,,,1
1589,1004,Undirected,1035,,,1
1589,1062,Undirected,1111,,,1
2095,1062,Undirected,1138,,,1
1589,1375,Undirected,1200,,,1
2095,1375,Undirected,1209,,,1
171,203,Undirected,1266,,,1
1589,1130,Undirected,1332,,,1
1293,2809,Undirected,1397,,,1
1589,928,Undirected,1440,,,1
2095,928,Undirected,1451,,,1
673,928,Undirected,1456,,,1
1851,928,Undirected,1499,,,1
1934,2481,Undirected,1589,,,1
1589,1174,Undirected,1680,,,1
575,1290,Undirected,1795,,,1
575,2509,Undirected,1877,,,1
1589,2595,Undirected,2014,,,1
3071,2790,Undirected,2042,,,1
171,1872,Undirected,2080,,,1
1589,511,Undirected,2228,,,1
2095,511,Undirected,2229,,,1
1851,991,Undirected,2375,,,1
575,1661,Undirected,2452,,,1
2095,2805,Undirected,2610,,,1
1851,1086,Undirected,2615,,,1
1589,1088,Undirected,2621,,,1
2095,1088,Undirected,2633,,,1
1589,1537,Undirected,2702,,,1
1210,658,Undirected,2783,,,1
1934,1116,Undirected,2929,,,1
2095,1310,Undirected,3125,,,1
1589,1310,Undirected,3127,,,1
1589,937,Undirected,3299,,,1
2095,937,Undirected,3304,,,1
1589,1227,Undirected,3387,,,1
1214,76,Undirected,3459,,,1
1661,76,Undirected,3460,,,1
2815,76,Undirected,3461,,,1
1037,76,Undirected,3462,,,1
362,76,Undirected,3463,,,1
1358,76,Undirected,3465,,,1
2095,2791,Undirected,3472,,,1
1851,2791,Undirected,3482,,,1
1589,2791,Undirected,3503,,,1
673,2791,Undirected,3510,,,1
1400,1232,Undirected,3542,,,1
3033,1233,Undirected,3572,,,1
1528,1233,Undirected,3575,,,1
1851,1235,Undirected,3621,,,1
1589,1235,Undirected,3624,,,1
1589,491,Undirected,3653,,,1
1210,1672,Undirected,3719,,,1
1589,1672,Undirected,3726,,,1
1589,968,Undirected,3847,,,1
1934,1542,Undirected,3906,,,1
171,1276,Undirected,3986,,,1
3071,482,Undirected,4060,,,1
673,2962,Undirected,4144,,,1
1589,2962,Undirected,4198,,,1
1589,740,Undirected,4337,,,1
673,756,Undirected,4368,,,1
1589,1957,Undirected,4459,,,1
2095,1957,Undirected,4501,,,1
1108,2536,Undirected,4514,,,1
1934,1228,Undirected,4574,,,1
171,1094,Undirected,4674,,,1
1400,862,Undirected,4737,,,1
1589,2460,Undirected,4880,,,1
673,2460,Undirected,4897,,,1
