Source,Target,Type,Id,Label,timeset,Weight
1470,4,Undirected,95,,,1
1470,7,Undirected,7750,,,1
8,668,Undirected,4303,,,1
1470,8,Undirected,7412,,,1
13,668,Undirected,4295,,,1
21,20,Undirected,1695,,,1
21,66,Undirected,11291,,,1
21,1226,Undirected,10621,,,1
21,126,Undirected,10577,,,1
21,127,Undirected,9777,,,1
21,1042,Undirected,9597,,,1
21,273,Undirected,9462,,,1
21,1194,Undirected,9187,,,1
21,1113,Undirected,8929,,,1
21,1117,Undirected,8699,,,1
21,168,Undirected,8497,,,1
21,1177,Undirected,8370,,,1
21,174,Undirected,8191,,,1
21,1746,Undirected,7939,,,1
21,859,Undirected,7042,,,1
21,1364,Undirected,6416,,,1
21,134,Undirected,5523,,,1
21,67,Undirected,5319,,,1
21,477,Undirected,4535,,,1
21,879,Undirected,3976,,,1
21,30,Undirected,3520,,,1
21,35,Undirected,3282,,,1
21,169,Undirected,2447,,,1
21,1533,Undirected,1724,,,1
21,179,Undirected,1622,,,1
21,180,Undirected,1453,,,1
21,1182,Undirected,1327,,,1
21,1462,Undirected,1167,,,1
21,784,Undirected,637,,,1
21,926,Undirected,457,,,1
21,748,Undirected,435,,,1
48,28,Undirected,7143,,,1
48,1707,Undirected,9498,,,1
48,907,Undirected,6133,,,1
48,70,Undirected,5813,,,1
48,1198,Undirected,4814,,,1
851,70,Undirected,5814,,,1
851,71,Undirected,7600,,,1
86,1049,Undirected,9082,,,1
222,101,Undirected,3539,,,1
126,1182,Undirected,1337,,,1
138,1681,Undirected,9390,,,1
138,1685,Undirected,8714,,,1
138,586,Undirected,8647,,,1
138,550,Undirected,5897,,,1
138,1479,Undirected,5769,,,1
138,1521,Undirected,4456,,,1
138,1368,Undirected,3354,,,1
138,1520,Undirected,2509,,,1
138,1554,Undirected,919,,,1
147,553,Undirected,10263,,,1
714,152,Undirected,224,,,1
464,152,Undirected,222,,,1
1470,156,Undirected,6496,,,1
782,160,Undirected,974,,,1
728,167,Undirected,1511,,,1
1582,167,Undirected,1507,,,1
174,1182,Undirected,1330,,,1
197,184,Undirected,8018,,,1
197,186,Undirected,3250,,,1
197,1428,Undirected,4982,,,1
197,353,Undirected,4835,,,1
212,1482,Undirected,4396,,,1
212,464,Undirected,1462,,,1
222,1779,Undirected,6120,,,1
222,310,Undirected,3118,,,1
237,1825,Undirected,3146,,,1
782,237,Undirected,316,,,1
248,1276,Undirected,2190,,,1
1511,251,Undirected,5885,,,1
851,252,Undirected,1661,,,1
347,357,Undirected,8431,,,1
364,1825,Undirected,3145,,,1
987,366,Undirected,11230,,,1
782,398,Undirected,11026,,,1
1470,410,Undirected,7731,,,1
441,1141,Undirected,8823,,,1
441,812,Undirected,3641,,,1
441,1626,Undirected,1341,,,1
987,453,Undirected,10926,,,1
782,461,Undirected,3235,,,1
1511,468,Undirected,5008,,,1
477,1182,Undirected,1331,,,1
847,500,Undirected,5767,,,1
782,501,Undirected,10090,,,1
835,507,Undirected,562,,,1
516,668,Undirected,4302,,,1
596,516,Undirected,11098,,,1
912,519,Undirected,5280,,,1
551,1727,Undirected,10537,,,1
1470,551,Undirected,4103,,,1
559,576,Undirected,11386,,,1
559,688,Undirected,11256,,,1
559,1082,Undirected,7353,,,1
559,683,Undirected,7215,,,1
559,1054,Undirected,5936,,,1
559,984,Undirected,5860,,,1
559,1076,Undirected,5667,,,1
559,1193,Undirected,5613,,,1
559,1195,Undirected,5502,,,1
559,960,Undirected,5458,,,1
559,793,Undirected,5405,,,1
559,883,Undirected,4851,,,1
559,1192,Undirected,2272,,,1
559,1295,Undirected,1280,,,1
559,791,Undirected,828,,,1
559,784,Undirected,625,,,1
1470,560,Undirected,4285,,,1
566,1727,Undirected,10548,,,1
1470,566,Undirected,612,,,1
569,1727,Undirected,10542,,,1
1470,569,Undirected,5631,,,1
1511,577,Undirected,5686,,,1
583,759,Undirected,7638,,,1
1470,583,Undirected,2055,,,1
835,584,Undirected,6384,,,1
586,668,Undirected,4308,,,1
1103,588,Undirected,6518,,,1
1511,593,Undirected,4249,,,1
727,594,Undirected,7155,,,1
920,594,Undirected,7154,,,1
1511,595,Undirected,6766,,,1
596,1619,Undirected,11152,,,1
596,716,Undirected,9230,,,1
596,1790,Undirected,8601,,,1
596,661,Undirected,8573,,,1
596,1137,Undirected,8542,,,1
596,1571,Undirected,8314,,,1
596,1023,Undirected,7824,,,1
596,655,Undirected,7427,,,1
596,647,Undirected,6864,,,1
596,1466,Undirected,5844,,,1
596,668,Undirected,4304,,,1
596,617,Undirected,3966,,,1
596,1755,Undirected,3498,,,1
596,1426,Undirected,665,,,1
601,1280,Undirected,11468,,,1
